fecha_entrada,fecha_salida,direccion,retorno_pct,retorno_R,stop_pct,resultado
2023-12-01 10:55:00,2023-12-01 12:21:00,LARGO,-0.042,-0.084,0.501,PERDEDOR
2023-12-01 15:52:00,2023-12-01 16:37:00,LARGO,0.812,1.626,0.5,GANADOR
2023-12-02 19:08:00,2023-12-02 19:14:00,LARGO,1.156,2.286,0.506,GANADOR
2023-12-02 19:16:00,2023-12-02 19:19:00,LARGO,0.216,0.428,0.504,GANADOR
2023-12-02 19:31:00,2023-12-02 21:07:00,LARGO,1.138,2.26,0.503,GANADOR
2023-12-03 13:56:00,2023-12-03 14:25:00,LARGO,-0.479,-0.958,0.5,PERDEDOR
2023-12-03 14:33:00,2023-12-03 15:21:00,LARGO,-0.592,-1.185,0.499,PERDEDOR
2023-12-03 15:44:00,2023-12-03 17:04:00,LARGO,-0.298,-0.596,0.5,PERDEDOR
2023-12-04 01:18:00,2023-12-04 01:28:00,LARGO,0.857,1.695,0.505,GANADOR
2023-12-04 01:32:00,2023-12-04 01:56:00,LARGO,1.05,2.073,0.506,GANADOR
2023-12-04 02:31:00,2023-12-04 05:26:00,LARGO,2.657,5.255,0.506,GANADOR
2023-12-05 15:38:00,2023-12-05 15:46:00,LARGO,-0.393,-0.785,0.5,PERDEDOR
2023-12-05 16:31:00,2023-12-05 16:46:00,LARGO,0.363,0.722,0.504,GANADOR
2023-12-05 17:02:00,2023-12-05 17:16:00,LARGO,1.596,3.133,0.509,GANADOR
2023-12-08 21:24:00,2023-12-08 21:42:00,LARGO,-0.064,-0.128,0.501,PERDEDOR
2023-12-08 21:59:00,2023-12-08 22:37:00,LARGO,-0.34,-0.679,0.501,PERDEDOR
2023-12-11 02:07:00,2023-12-11 02:14:00,CORTO,4.524,9.297,0.487,GANADOR
2023-12-11 02:16:00,2023-12-11 02:18:00,CORTO,2.17,4.401,0.493,GANADOR
2023-12-11 02:33:00,2023-12-11 02:45:00,CORTO,1.79,3.652,0.49,GANADOR
2023-12-18 10:35:00,2023-12-18 10:51:00,CORTO,-0.414,-0.826,0.501,PERDEDOR
2023-12-20 13:46:00,2023-12-20 14:07:00,LARGO,0.432,0.86,0.503,GANADOR
2023-12-20 14:16:00,2023-12-20 14:38:00,LARGO,1.024,2.021,0.507,GANADOR
2023-12-20 14:58:00,2023-12-20 15:42:00,LARGO,1.317,2.607,0.505,GANADOR
2023-12-22 06:35:00,2023-12-22 06:41:00,LARGO,-0.461,-0.929,0.497,PERDEDOR
2023-12-26 06:01:00,2023-12-26 06:18:00,CORTO,-0.284,-0.567,0.5,PERDEDOR
2023-12-26 09:08:00,2023-12-26 09:50:00,CORTO,0.588,1.177,0.499,GANADOR
2023-12-26 10:34:00,2023-12-26 12:48:00,CORTO,-0.252,-0.506,0.499,PERDEDOR
2023-12-29 22:21:00,2023-12-29 22:24:00,CORTO,-0.206,-0.41,0.502,PERDEDOR
2024-01-01 23:22:00,2024-01-02 00:16:00,LARGO,1.593,3.172,0.502,GANADOR
2024-01-02 00:32:00,2024-01-02 01:11:00,LARGO,2.095,4.136,0.507,GANADOR
2024-01-02 02:46:00,2024-01-02 03:03:00,LARGO,2.319,4.513,0.514,GANADOR
2024-01-02 03:19:00,2024-01-02 04:09:00,LARGO,2.419,4.715,0.513,GANADOR
2024-01-09 21:12:00,2024-01-09 21:15:00,LARGO,0.674,1.332,0.506,GANADOR
2024-01-11 14:28:00,2024-01-11 14:31:00,LARGO,-0.504,-1.008,0.5,PERDEDOR
2024-01-11 14:46:00,2024-01-11 14:48:00,LARGO,1.695,3.336,0.508,GANADOR
2024-01-11 15:06:00,2024-01-11 15:09:00,LARGO,0.033,0.067,0.501,GANADOR
2024-01-12 16:54:00,2024-01-12 16:55:00,CORTO,-0.604,-1.198,0.504,PERDEDOR
2024-01-12 22:04:00,2024-01-12 22:06:00,CORTO,1.245,2.529,0.492,GANADOR
2024-01-12 22:22:00,2024-01-12 22:24:00,CORTO,2.625,5.419,0.484,GANADOR
2024-01-18 16:51:00,2024-01-18 17:19:00,CORTO,-0.403,-0.803,0.502,PERDEDOR
2024-01-18 17:53:00,2024-01-18 18:00:00,CORTO,-0.38,-0.759,0.501,PERDEDOR
2024-01-18 19:46:00,2024-01-18 19:59:00,CORTO,1.592,3.237,0.492,GANADOR
2024-01-19 16:23:00,2024-01-19 16:50:00,CORTO,0.196,0.393,0.499,GANADOR
2024-01-22 18:50:00,2024-01-22 18:53:00,CORTO,-0.367,-0.733,0.5,PERDEDOR
