date,entry_time,exit_time,direction,entry,exit,so,stop_level,band_upper,band_lower,atr14,n,pnl,equity,reason,period
2023-11-29,11:35,15:25,SHORT,16054.0,16022.0,16147.25,16147.25,16238.88,16055.62,183.25,18,1140.84,100148.7,EOD,OOS
2023-11-30,10:05,15:25,SHORT,15939.25,15884.0,16032.5,16032.5,16124.34,15940.66,183.68,20,2197.6,102346.3,EOD,OOS
2023-12-01,12:55,15:25,LONG,16038.5,16031.0,15933.5,15933.5,16027.64,15839.36,188.29,20,-312.4,102033.9,EOD,OOS
2023-12-04,10:35,12:45,SHORT,15740.75,15855.75,15862.25,15862.25,15955.29,15769.21,186.07,20,-4612.4,97421.5,STOP,OOS
2023-12-05,10:05,15:25,LONG,15909.25,15894.75,15791.0,15791.0,15882.51,15699.49,183.02,20,-592.4,96829.1,EOD,OOS
2023-12-06,10:05,15:25,SHORT,15953.75,15827.5,16033.75,16033.75,16126.92,15940.58,186.34,20,5037.6,101866.7,EOD,OOS
2023-12-07,12:30,15:25,LONG,16046.0,16040.0,15934.25,15934.25,16022.63,15845.87,176.77,20,-252.4,101614.3,EOD,OOS
2023-12-08,10:25,15:25,LONG,16098.0,16108.5,15956.0,15956.0,16048.17,15863.83,184.34,14,285.32,101899.62,EOD,OOS
2023-12-11,10:55,15:25,LONG,16177.0,16217.0,16077.5,16077.5,16171.91,15983.09,188.82,14,1111.32,103010.94,EOD,OOS
2023-12-12,15:15,15:25,LONG,16344.25,16351.25,16232.25,16232.25,16328.88,16135.62,193.27,17,227.46,103238.4,EOD,OOS
2023-12-13,14:45,15:25,LONG,16543.75,16508.5,16398.75,16398.75,16493.96,16303.54,190.41,17,-1209.04,102029.36,EOD,OOS
2023-12-14,13:05,15:25,SHORT,16502.0,16522.0,16607.75,16607.75,16705.02,16510.48,194.54,20,-812.4,101216.96,EOD,OOS
2023-12-18,13:35,15:25,LONG,16948.0,16969.75,16846.5,16846.5,16945.96,16747.04,198.91,20,857.6,102074.56,EOD,OOS
2023-12-20,15:05,15:25,SHORT,16822.5,16792.75,16986.0,16986.0,17095.71,16876.29,219.41,14,824.32,102898.88,EOD,OOS
2023-12-29,11:30,15:25,SHORT,16948.0,17035.0,17089.0,17089.0,17186.2,16991.8,194.39,20,-3492.4,99406.48,EOD,OOS
2024-01-02,09:55,15:25,SHORT,16763.0,16645.5,16862.0,16862.0,16956.3,16767.7,188.61,20,4687.6,104094.08,EOD,OOS
2024-01-04,11:25,15:25,LONG,16566.0,16484.5,16453.25,16453.25,16556.33,16350.17,206.16,17,-2781.54,101312.54,EOD,OOS
2024-01-05,10:35,12:35,LONG,16554.75,16468.0,16449.0,16449.0,16550.88,16347.12,203.75,17,-2960.04,98352.5,STOP,OOS
2024-01-08,10:05,15:25,LONG,16637.5,16777.75,16512.0,16512.0,16611.88,16412.12,199.75,17,4757.96,103110.46,EOD,OOS
2024-01-09,11:25,15:25,LONG,16780.0,16825.75,16669.0,16669.0,16772.52,16565.48,207.04,9,817.92,103928.38,EOD,OOS
2024-01-10,14:20,15:25,LONG,16957.75,16938.75,16840.0,16840.0,16935.6,16744.4,191.2,11,-424.82,103503.56,EOD,OOS
2024-01-11,10:35,15:25,SHORT,16899.75,16947.0,16984.5,16984.5,17083.38,16885.62,197.77,13,-1236.56,102267.0,EOD,OOS
2024-01-16,10:55,12:10,LONG,17014.25,16932.0,16916.5,16916.5,17011.96,16821.04,190.93,15,-2476.8,99790.2,STOP,OOS
2024-01-17,10:05,11:20,SHORT,16735.25,16825.25,16825.0,16825.0,16921.67,16728.33,193.34,20,-3612.4,96177.8,STOP,OOS
2024-01-19,13:25,15:25,LONG,17351.25,17429.75,17190.5,17190.5,17299.05,17081.95,217.11,16,2502.08,98679.88,EOD,OOS
2024-01-25,13:35,15:25,SHORT,17619.5,17598.25,17722.5,17722.5,17832.4,17612.6,219.8,16,670.08,99349.96,EOD,OOS
2024-01-29,15:10,15:25,LONG,17671.0,17704.25,17548.25,17548.25,17659.05,17437.45,221.61,20,1317.6,100667.56,EOD,OOS
2024-01-31,15:20,15:25,SHORT,17306.25,17298.75,17399.75,17399.75,17503.42,17296.08,207.34,17,244.46,100912.02,EOD,OOS
2024-02-01,15:05,15:25,LONG,17436.0,17438.0,17307.25,17307.25,17417.02,17197.48,219.54,11,37.18,100949.2,EOD,OOS
2024-02-02,10:55,15:25,LONG,17639.5,17766.0,17508.25,17508.25,17615.35,17401.15,214.2,10,2523.8,103473.0,EOD,OOS
2024-02-05,10:55,14:30,SHORT,17592.75,17722.75,17722.5,17722.5,17836.96,17608.04,228.93,8,-2084.96,101388.04,STOP,OOS
2024-02-06,10:50,15:25,SHORT,17632.5,17635.75,17741.5,17741.5,17856.4,17626.6,229.8,9,-64.08,101323.96,EOD,OOS
2024-02-09,13:05,15:25,LONG,18024.0,18042.0,17909.0,17909.0,18010.86,17807.14,203.71,16,566.08,101890.04,EOD,OOS
2024-02-13,10:45,14:00,LONG,17773.25,17628.0,17628.25,17628.25,17734.06,17522.44,211.62,19,-5531.28,96358.76,STOP,OOS
2024-02-16,10:05,15:25,SHORT,17765.25,17788.5,17926.75,17926.75,18038.45,17815.05,223.39,11,-518.32,95840.44,EOD,OOS
2024-02-20,10:15,15:25,SHORT,17529.25,17586.75,17661.75,17661.75,17774.18,17549.32,224.86,11,-1271.82,94568.62,EOD,OOS
